,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,region,AC,Cooking,Internet,Pub_Trsp,No_Afac,Washing_Machine,BBQ,Club_House,Gym,Jog,Lift,Minimart,MP_Hall,No_Fac,Parking,Playground,Sauna,Security,Squash,Pool,Tennis
45,2000.0,7,10,1.0,2.0,742,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0
46,2000.0,2,12,1.0,2.0,862,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
47,2100.0,2,14,1.0,3.0,1300,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
48,1300.0,0,12,1.0,2.0,805,2,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0
49,2600.0,2,14,2.0,2.0,1000,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0
50,2000.0,7,7,1.0,1.0,440,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
51,2500.0,2,16,2.0,3.0,1600,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0
52,2500.0,2,12,2.0,2.0,1028,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
53,2000.0,2,14,0.0,2.0,940,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
54,1800.0,2,12,1.0,2.0,860,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
55,1700.0,2,12,2.0,2.0,1100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,1600.0,2,14,1.0,2.0,914,2,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
57,2000.0,2,12,2.0,2.0,1100,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
58,1500.0,2,12,2.0,2.0,1100,2,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
59,1700.0,2,12,2.0,2.0,1100,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
60,1850.0,2,12,2.0,2.0,1100,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
61,1700.0,2,14,2.0,3.0,1200,2,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
62,1700.0,7,10,1.0,2.0,904,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
63,1800.0,2,14,2.0,2.0,1300,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
64,1600.0,2,12,1.0,2.0,950,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,1600.0,2,12,2.0,2.0,1100,2,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
66,1400.0,7,10,2.0,2.0,650,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
67,1000.0,0,12,2.0,2.0,1000,2,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1
68,2700.0,2,12,0.0,2.0,1115,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
69,1400.0,7,12,1.0,2.0,850,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
70,1500.0,2,10,1.0,1.0,717,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
71,1350.0,0,12,1.0,2.0,850,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,3000.0,7,12,0.0,2.0,864,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0
73,1300.0,7,12,1.0,2.0,1150,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0
74,2500.0,2,12,0.0,2.0,1500,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
75,7000.0,2,10,1.0,2.0,1076,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0
76,1300.0,0,12,1.0,2.0,1000,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0
77,900.0,0,10,1.0,1.0,550,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
78,1300.0,2,12,1.0,2.0,967,2,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
79,2500.0,2,14,1.0,2.0,1184,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0
80,1300.0,2,10,1.0,2.0,1050,2,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
81,7800.0,2,10,1.0,2.0,1076,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0
82,1700.0,2,12,0.0,3.0,1267,2,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
83,2000.0,2,12,1.0,3.0,1267,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
84,2100.0,7,10,0.0,2.0,999,2,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0
85,1750.0,2,12,2.0,2.0,1121,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0
86,2000.0,0,10,1.0,2.0,872,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
87,1300.0,0,12,0.0,2.0,860,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
88,1100.0,2,12,1.0,2.0,904,2,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
89,1300.0,0,12,1.0,2.0,835,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0
90,850.0,0,12,0.0,2.0,750,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,1400.0,2,12,1.0,2.0,1129,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1
92,1900.0,7,10,1.0,2.0,1132,2,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
93,1700.0,2,10,0.0,1.0,700,2,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
94,2100.0,7,12,2.0,2.0,1000,2,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0
95,1550.0,2,14,1.0,2.0,1142,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0
96,1400.0,2,14,2.0,2.0,1300,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
97,1800.0,0,12,1.0,2.0,884,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
98,1300.0,7,12,1.0,2.0,819,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
99,2500.0,7,12,1.0,2.0,850,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
100,2300.0,7,12,2.0,2.0,1000,2,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0
101,1350.0,7,10,1.0,1.0,650,2,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
102,1100.0,0,12,2.0,2.0,800,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
103,1700.0,2,12,2.0,2.0,1300,2,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
104,1800.0,0,12,1.0,2.0,1200,2,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1
105,1600.0,7,12,1.0,2.0,770,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
106,1600.0,7,12,2.0,2.0,800,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0
107,1650.0,7,12,2.0,2.0,850,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,1200.0,7,10,1.0,1.0,646,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
109,1200.0,2,10,1.0,2.0,1000,2,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1
110,2599.0,2,14,3.0,5.0,1899,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
111,1400.0,0,12,1.0,2.0,1000,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
112,2600.0,7,14,0.0,2.0,877,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,900.0,7,7,1.0,1.0,360,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
114,1200.0,7,7,1.0,1.0,521,2,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
115,2500.0,7,7,1.0,1.0,468,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,2200.0,2,12,2.0,2.0,1100,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
117,2300.0,2,12,1.0,2.0,862,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0
118,1500.0,2,14,1.0,2.0,1142,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
119,1600.0,2,12,2.0,2.0,1224,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
120,700.0,0,12,0.0,1.0,700,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
121,1900.0,2,12,2.0,2.0,1193,2,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
122,2100.0,7,12,2.0,2.0,1200,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1
123,1399.0,7,12,1.0,2.0,926,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,1300.0,0,12,1.0,3.0,935,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0
125,1450.0,2,12,1.0,2.0,1100,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
126,1500.0,0,12,1.0,2.0,900,2,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
127,1000.0,4,12,0.0,2.0,650,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,1600.0,2,12,1.0,2.0,1070,2,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
129,2200.0,7,12,0.0,2.0,850,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0
130,2000.0,7,7,1.0,1.0,560,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
131,1900.0,2,10,0.0,2.0,705,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0
132,2200.0,0,10,1.0,2.0,866,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
133,3300.0,0,12,1.0,2.0,950,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
134,2000.0,7,7,0.0,1.0,600,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
135,1000.0,0,12,0.0,2.0,955,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
136,850.0,0,12,0.0,1.0,650,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
137,2500.0,2,12,0.0,2.0,1000,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0
138,1500.0,2,12,1.0,2.0,1000,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0
139,1650.0,2,12,1.0,2.0,1200,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0
140,2500.0,7,12,1.0,2.0,850,2,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
141,1500.0,2,12,2.0,2.0,1062,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
142,1200.0,4,12,0.0,2.0,700,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
143,1500.0,7,12,0.0,2.0,1040,2,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
144,1500.0,2,14,2.0,2.0,1333,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,1800.0,2,12,0.0,2.0,850,2,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1
146,1500.0,0,12,1.0,2.0,1100,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
147,850.0,0,12,1.0,2.0,850,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0
148,3700.0,2,12,2.0,2.0,1325,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
149,999.0,2,12,1.0,2.0,962,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
150,1500.0,0,12,0.0,2.0,900,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
151,2100.0,2,12,2.0,2.0,925,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0
152,4500.0,2,14,0.0,3.0,1690,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1
153,1550.0,7,7,1.0,1.0,570,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
154,2300.0,7,12,0.0,2.0,1050,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
155,1500.0,7,12,0.0,2.0,900,2,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
156,2499.0,7,14,3.0,2.0,1100,2,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
157,1450.0,2,12,1.0,2.0,1150,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
158,4000.0,2,14,0.0,4.0,2200,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0
159,1100.0,7,10,0.0,2.0,650,2,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0
160,1750.0,7,12,1.0,2.0,819,2,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
161,1800.0,7,7,1.0,2.0,762,2,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
162,1700.0,0,10,1.0,2.0,743,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
163,2200.0,2,7,1.0,1.0,638,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
164,1700.0,2,12,1.0,2.0,1072,2,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0
165,2000.0,2,14,1.0,2.0,900,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
166,1948.0,7,10,1.0,2.0,990,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0
167,1300.0,0,12,1.0,2.0,850,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
168,2200.0,2,12,2.0,2.0,850,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
