,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
1192,2300,Kuala Lumpur - Sri Petaling,Service Residence,3,1.0,2.0,861,Fully Furnished,"Parking, Security, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Lift, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1193,1450,Kuala Lumpur - Taman Desa,Condominium,3,1.0,2.0,1150,Partially Furnished,"Playground, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Minimart, Swimming Pool",None,Kuala Lumpur
1194,1250,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,755,Partially Furnished,None,None,Kuala Lumpur
1195,1750,Kuala Lumpur - Sungai Besi,Service Residence,1,2.0,1.0,811,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1196,1500,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,800,Partially Furnished,"Parking, Swimming Pool, Lift, Sauna, Minimart, Tennis Court, Squash Court, Barbeque area, Security, Playground, Jogging Track, Gymnasium",None,Kuala Lumpur
1197,1198,Kuala Lumpur - Sri Petaling,Service Residence,1,2.0,1.0,667,Partially Furnished,"Parking, Security, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Lift, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Minimart, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1198,1800,Kuala Lumpur - Old Klang Road,Condominium,3,1.0,2.0,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1199,1300,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,650,Partially Furnished,"Swimming Pool, Jogging Track, Parking, Security, Barbeque area, Playground, Gymnasium, Lift",None,Kuala Lumpur
1200,1788,Kuala Lumpur - Kuchai Lama,Condominium,3,2.0,2.0,1100,Partially Furnished,"Gymnasium, Multipurpose hall, Security, Playground, Swimming Pool, Parking, Sauna, Jogging Track, Lift, Barbeque area, Minimart, Squash Court, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1201,1800,Kuala Lumpur - Jalan Ipoh,Condominium,2,1.0,2.0,840,Fully Furnished,"Swimming Pool, Squash Court, Barbeque area, Club house, Tennis Court, Security, Gymnasium, Parking, Lift, Playground, Minimart, Sauna, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
1202,1200,Kuala Lumpur - Cheras,Apartment,3,1.0,2.0,860,Partially Furnished,"Parking, Security, Playground, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
1203,1600,Kuala Lumpur - Kepong,Service Residence,3,1.0,2.0,916,Not Furnished,"Parking, Lift, Security, Playground, Swimming Pool, Barbeque area, Minimart, Sauna, Multipurpose hall, Gymnasium, Jogging Track, Club house, Squash Court, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1204,1400,Kuala Lumpur - Cheras,Service Residence,2,1.0,1.0,695,Partially Furnished,"Squash Court, Barbeque area, Swimming Pool, Parking, Sauna, Playground, Gymnasium, Security, Minimart, Lift, Multipurpose hall, Jogging Track, Club house, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1205,1500,Kuala Lumpur - Taman Desa,Condominium,3,1.0,2.0,850,Partially Furnished,"Playground, Multipurpose hall, Parking, Security",None,Kuala Lumpur
1206,1500,Kuala Lumpur - Sentul,Service Residence,2,0.0,2.0,646,Not Furnished,None,None,Kuala Lumpur
1207,2000,Kuala Lumpur - Sri Damansara,Service Residence,1,1.0,1.0,499,Fully Furnished,"Playground, Tennis Court, Squash Court, Minimart, Swimming Pool, Gymnasium, Sauna, Club house, Parking, Lift, Security, Jogging Track, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1208,1700,Kuala Lumpur - Sri Damansara,Service Residence,1,1.0,1.0,499,Partially Furnished,"Playground, Tennis Court, Squash Court, Minimart, Swimming Pool, Gymnasium, Sauna, Club house, Parking, Lift, Security, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1209,1350,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,1003,Partially Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1210,2400,Kuala Lumpur - Setapak,Service Residence,3,0.0,2.0,928,Fully Furnished,"Lift, Parking, Security, Playground, Minimart",None,Kuala Lumpur
1211,1200,Kuala Lumpur - OUG,Service Residence,3,1.0,2.0,950,Partially Furnished,"Security, Jogging Track, Parking, Playground, Swimming Pool, Lift, Multipurpose hall, Minimart, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1212,4000,Kuala Lumpur - Wangsa Maju,Condominium,4,2.0,4.0,1550,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, 11, 10, Security, Jogging Track, Playground, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1213,1988,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,1003,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Club house, Jogging Track, Gymnasium, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1214,1600,Kuala Lumpur - Jalan Ipoh,Service Residence,2,0.0,4.0,652,Not Furnished,"Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Playground, Security, Jogging Track",None,Kuala Lumpur
1215,1200,Kuala Lumpur - Ampang,Condominium,3,1.0,2.0,865,Not Furnished,None,None,Kuala Lumpur
1216,2200,Kuala Lumpur - Keramat,Condominium,3,0.0,2.0,1003,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Multipurpose hall, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1217,1600,Kuala Lumpur - Sri Hartamas,Service Residence,1,0.0,1.0,500,Fully Furnished,"Club house, Swimming Pool, Jogging Track, Barbeque area, Playground, Parking, Security, Gymnasium, Squash Court, Sauna",None,Kuala Lumpur
1218,1350,Kuala Lumpur - Cheras,Service Residence,1,2.0,1.0,618,Fully Furnished,"Barbeque area, Sauna, Club house, Parking, Gymnasium, Multipurpose hall, Playground, Jogging Track, Security",None,Kuala Lumpur
1219,1700,Kuala Lumpur - Old Klang Road,Condominium,2,1.0,2.0,900,Fully Furnished,"Barbeque area, Jogging Track, Playground, Multipurpose hall, Gymnasium, Swimming Pool, Sauna, Security, Parking, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1220,3500,Kuala Lumpur - Mont Kiara,Condominium,3,2.0,2.0,1015,Fully Furnished,None,None,Kuala Lumpur
1221,1500,Kuala Lumpur - Sri Hartamas,Service Residence,1,1.0,1.0,500,Fully Furnished,"Squash Court, Barbeque area, Sauna, Security, Playground, Jogging Track, Parking, Club house, Gymnasium, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1222,1500,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,650,Partially Furnished,"Parking, Playground, Barbeque area, Swimming Pool, Jogging Track, Lift, Security, Gymnasium",None,Kuala Lumpur
1223,1600,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Jogging Track","Cooking Allowed, Washing Machine",Kuala Lumpur
1224,2700,Kuala Lumpur - Mont Kiara,Condominium,3,1.0,2.0,1300,Fully Furnished,None,None,Kuala Lumpur
1225,1200,Kuala Lumpur - OUG,Condominium,3,1.0,2.0,950,Partially Furnished,"Swimming Pool, Playground, Sauna, Squash Court, Minimart, Parking, Security",None,Kuala Lumpur
1226,3500,Kuala Lumpur - Desa Petaling,Condominium,4,3.0,3.0,1400,Fully Furnished,"Security, Jogging Track, Parking, Playground, Swimming Pool, Gymnasium, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1227,3500,Kuala Lumpur - Ampang,Condominium,3,2.0,3.0,1637,Fully Furnished,"Security, Playground, Swimming Pool, Sauna, Squash Court, Barbeque area, Gymnasium",None,Kuala Lumpur
1228,1800,Kuala Lumpur - Cheras,Condominium,2,2.0,2.0,1072,Fully Furnished,"Swimming Pool, Gymnasium, Playground, Barbeque area, Sauna, Parking, Tennis Court, Squash Court, Security, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
1229,1800,Kuala Lumpur - Setapak,Service Residence,2,2.0,1.0,900,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
1230,1400,Kuala Lumpur - Cheras,Service Residence,3,2.0,2.0,1050,Partially Furnished,"Security, Parking, Swimming Pool, Lift, Playground, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1231,1500,Kuala Lumpur - Wangsa Maju,Condominium,3,1.0,2.0,900,Partially Furnished,"Parking, Security, Playground, Gymnasium, Minimart, Swimming Pool, Lift, Jogging Track, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1232,2100,Kuala Lumpur - Sri Damansara,Service Residence,1,2.0,1.0,761,Partially Furnished,"Lift, Security, Playground, Swimming Pool, Gymnasium, Tennis Court, Squash Court, Club house, Parking, Minimart, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
1233,13000,Kuala Lumpur - Mont Kiara,Condominium,4,3.0,4.0,3000,Fully Furnished,"Parking, Gymnasium, Playground, Swimming Pool, Sauna, Security, Barbeque area, Minimart, Lift, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
1234,1900,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,1000,Partially Furnished,None,None,Kuala Lumpur
1235,1700,Kuala Lumpur - Mont Kiara,Service Residence,1,1.0,1.0,500,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1236,1600,Kuala Lumpur - Wangsa Maju,Condominium,3,1.0,2.0,1267,Fully Furnished,"Parking, Security, Minimart, Swimming Pool, Gymnasium, Playground, Squash Court, Jogging Track",None,Kuala Lumpur
1237,10000,Kuala Lumpur - KLCC,Condominium,4,2.0,4.0,3075,Fully Furnished,"Security, Sauna, Gymnasium, Parking, Swimming Pool, Lift, Playground, Barbeque area, Minimart, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1238,900,Kuala Lumpur - Wangsa Maju,Flat,2,1.0,1.0,628,Not Furnished,"Parking, Minimart","Near KTM/LRT, Cooking Allowed",Kuala Lumpur
1239,2500,Kuala Lumpur - Keramat,Service Residence,1,2.0,1.0,736,Fully Furnished,"Parking, Security, Lift, Gymnasium, Playground, Swimming Pool, Jogging Track, Barbeque area",None,Kuala Lumpur
1240,3000,Kuala Lumpur - Mont Kiara,Condominium,3,0.0,2.0,1432,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house, Jogging Track, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed",Kuala Lumpur
1241,3800,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,1000,Fully Furnished,"Gymnasium, Multipurpose hall, Swimming Pool, Security, Barbeque area, Parking",None,Kuala Lumpur
1242,3800,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,1000,Fully Furnished,"Gymnasium, Multipurpose hall, Swimming Pool, Security, Barbeque area, Parking",None,Kuala Lumpur
1243,1800,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1244,2800,Kuala Lumpur - Sri Damansara,Condominium,3,2.0,3.0,1610,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Barbeque area, Parking, Security, Sauna, Minimart, Club house",None,Kuala Lumpur
1245,1600,Kuala Lumpur - Ampang,Service Residence,2,0.0,2.0,800,Fully Furnished,"Parking, Gymnasium, Security, Swimming Pool",None,Kuala Lumpur
1246,900,Kuala Lumpur - Setapak,Apartment,3,0.0,1.0,715,Not Furnished,"Playground, Parking, Security, Lift",None,Kuala Lumpur
1247,800,Kuala Lumpur - Pandan Indah,Flat,3,0.0,1.0,588,Not Furnished,None,Near KTM/LRT,Kuala Lumpur
1248,1700,Kuala Lumpur - Old Klang Road,Condominium,3,0.0,2.0,1190,Partially Furnished,"Parking, Playground, Gymnasium, Security, Swimming Pool, Minimart, Squash Court, Lift, Sauna","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
1249,900,Kuala Lumpur - Pandan Jaya,Flat,2,0.0,1.0,700,Partially Furnished,None,"Near KTM/LRT, Cooking Allowed",Kuala Lumpur
1250,3999,Kuala Lumpur - Desa Pandan,Service Residence,3,2.0,2.0,1539,Fully Furnished,"Multipurpose hall, Security, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1251,1250,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,748,Partially Furnished,"Parking, Jogging Track, Security, Gymnasium, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1252,2700,Kuala Lumpur - Setiawangsa,Condominium,3,2.0,2.0,1115,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track, Tennis Court",None,Kuala Lumpur
1253,1600,Kuala Lumpur - Jalan Ipoh,Service Residence,2,1.0,2.0,900,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1254,1400,Kuala Lumpur - Wangsa Maju,Apartment,3,2.0,2.0,800,Not Furnished,"Multipurpose hall, Lift, Security, Minimart, Jogging Track, Parking","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1255,1450,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,850,Partially Furnished,"Jogging Track, Lift, Minimart, Playground, Tennis Court, Parking, Squash Court, Sauna, Security, Gymnasium, Swimming Pool, Barbeque area",None,Kuala Lumpur
1256,2300,Kuala Lumpur - Bukit Jalil,Condominium,4,2.0,3.0,1280,Fully Furnished,"Swimming Pool, Playground, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1257,2000,Kuala Lumpur - KLCC,Condominium,1,0.0,1.0,580,Fully Furnished,"Parking, Security, Minimart, Tennis Court, Gymnasium, Jogging Track, Playground, Swimming Pool, Squash Court","Air-Cond, Cooking Allowed",Kuala Lumpur
1258,400,Kuala Lumpur - Wangsa Maju,Condominium,4,0.0,2.0,1246,Fully Furnished,"Security, Playground, Lift, Swimming Pool, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1259,1000,Kuala Lumpur - Setapak,Condominium,3,0.0,2.0,803,Partially Furnished,"Minimart, Parking, Security, Lift, Swimming Pool, Playground",Cooking Allowed,Kuala Lumpur
1260,2300,Kuala Lumpur - Taman Desa,Condominium,3,2.0,2.0,921,Fully Furnished,"Security, Squash Court, Minimart, Playground, Swimming Pool, Lift, Parking, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
1261,1200,Kuala Lumpur - Kepong,Apartment,3,1.0,2.0,1000,Fully Furnished,"Parking, Security, Lift",Near KTM/LRT,Kuala Lumpur
1262,800,Kuala Lumpur - Wangsa Maju,Condominium,4,0.0,2.0,1246,Fully Furnished,"Security, Playground, Lift, Swimming Pool, Gymnasium, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1263,4899,Kuala Lumpur - KLCC,Condominium,2,2.0,2.0,1485,Fully Furnished,"Gymnasium, Security, Playground, Parking, Swimming Pool, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1264,3600,Kuala Lumpur - Wangsa Maju,Condominium,4,2.0,2.0,1528,Fully Furnished,"Swimming Pool, Tennis Court, Squash Court, Barbeque area, Playground, Jogging Track, Sauna, Club house, Parking, Gymnasium, Security",None,Kuala Lumpur
1265,1500,Kuala Lumpur - Sri Hartamas,Service Residence,1,0.0,1.0,590,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1266,1100,Kuala Lumpur - Desa Petaling,Condominium,3,1.0,2.0,800,Not Furnished,"Parking, Playground, Swimming Pool, Barbeque area, Security, Minimart, Tennis Court, Gymnasium",Cooking Allowed,Kuala Lumpur
1267,4500,Kuala Lumpur - KL City,Service Residence,3,2.0,4.0,1653,Fully Furnished,"Jogging Track, Lift, Minimart, Gymnasium, Playground, Squash Court, Barbeque area, Sauna, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
1268,1650,Kuala Lumpur - Setapak,Condominium,1,1.0,1.0,700,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Minimart, Playground, Jogging Track, Security, 10, 11, Lift, Parking",None,Kuala Lumpur
1269,1600,Kuala Lumpur - Setapak,Service Residence,1,1.0,1.0,700,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Playground, Jogging Track, Sauna",None,Kuala Lumpur
1270,2500,Kuala Lumpur - KL City,Service Residence,2,1.0,2.0,977,Fully Furnished,"Security, Minimart, Playground, Swimming Pool, Parking, Jogging Track, Barbeque area, Gymnasium, Squash Court, Sauna, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1271,1500,Kuala Lumpur - KL City,Service Residence,1,1.0,1.0,506,Fully Furnished,"Minimart, Sauna, Security, Playground, Swimming Pool, Squash Court, Jogging Track, Parking, Lift, Barbeque area, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1272,1300,Kuala Lumpur - Taman Desa,Condominium,3,0.0,2.0,938,Partially Furnished,"Parking, Playground, Squash Court, Swimming Pool, Tennis Court, Sauna, Security, Minimart, Gymnasium",None,Kuala Lumpur
1273,800,Kuala Lumpur - Kepong,Apartment,3,0.0,2.0,935,Not Furnished,"Parking, Minimart",Near KTM/LRT,Kuala Lumpur
1274,1100,Kuala Lumpur - Desa Pandan,Condominium,1,0.0,1.0,650,Fully Furnished,"Security, Sauna, Parking, Gymnasium, Squash Court, Barbeque area, Playground, Swimming Pool, Tennis Court",None,Kuala Lumpur
1275,1700,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1090,Not Furnished,"Gymnasium, Security, Playground, Parking, Swimming Pool, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1276,3000,Kuala Lumpur - Cheras,Service Residence,3,2.0,3.0,1356,Not Furnished,"Gymnasium, Parking, Swimming Pool, Playground, Security, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1277,3600,Kuala Lumpur - Ampang Hilir,Service Residence,2,1.0,2.0,775,Fully Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1278,1600,Kuala Lumpur - Setiawangsa,Condominium,3,1.0,2.0,1267,Fully Furnished,"Security, Minimart, Parking",None,Kuala Lumpur
1279,2500,Kuala Lumpur - Setiawangsa,Condominium,3,0.0,2.0,1300,Partially Furnished,"Swimming Pool, Parking, Security, Playground, Gymnasium","Air-Cond, Near KTM/LRT",Kuala Lumpur
1280,750,Kuala Lumpur - Setapak,Apartment,3,0.0,1.0,700,Not Furnished,"Security, Playground, Parking, Lift",Cooking Allowed,Kuala Lumpur
1281,1250,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,1300,Partially Furnished,"Security, Minimart, Gymnasium, Barbeque area, Parking, Lift, Club house, Playground, Swimming Pool, Tennis Court, Squash Court, Sauna",None,Kuala Lumpur
1282,2000,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1285,Fully Furnished,"Parking, Security, Playground, Lift, Swimming Pool, Minimart","Air-Cond, Cooking Allowed",Kuala Lumpur
1283,1200,Kuala Lumpur - Setapak,Service Residence,1,1.0,1.0,618,Partially Furnished,"Gymnasium, Playground, Jogging Track, Parking, Swimming Pool, Sauna",None,Kuala Lumpur
1284,1850,Kuala Lumpur - Wangsa Maju,Apartment,3,1.0,2.0,800,Fully Furnished,"Multipurpose hall, Parking, Security, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1285,2400,Kuala Lumpur - Bukit Jalil,Condominium,3,2.0,3.0,1239,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Sauna, Squash Court, Multipurpose hall, Tennis Court, Lift, Barbeque area, Club house, Security, Minimart, Jogging Track, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
1286,900,Kuala Lumpur - Setapak,Apartment,3,1.0,2.0,657,Not Furnished,"Security, Playground, Parking",None,Kuala Lumpur
1287,601,Kuala Lumpur - Serdang,Condominium,2,1.0,1.0,591,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Club house",Cooking Allowed,Kuala Lumpur
1288,1950,Kuala Lumpur - Bukit Jalil,Condominium,3,1.0,2.0,1100,Fully Furnished,"Jogging Track, Barbeque area, Security, Playground, Parking, Minimart","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
1289,1100,Kuala Lumpur - Kepong,Apartment,3,1.0,2.0,948,Not Furnished,"Playground, Security, Swimming Pool, Minimart, Lift, Parking",Air-Cond,Kuala Lumpur
1290,1500,Kuala Lumpur - Sentul,Condominium,2,0.0,2.0,856,Fully Furnished,"Multipurpose hall, Minimart, Security, Playground, Jogging Track, Swimming Pool",None,Kuala Lumpur
1291,1400,Kuala Lumpur - Desa Pandan,Condominium,3,1.0,2.0,900,Partially Furnished,"Minimart, Swimming Pool, Jogging Track, Lift, Security, Playground, Parking, Gymnasium, Sauna, Multipurpose hall","Air-Cond, Cooking Allowed",Kuala Lumpur
1292,2450,Kuala Lumpur - Segambut,Condominium,2,2.0,2.0,900,Fully Furnished,"Playground, Security, Parking, Swimming Pool, Gymnasium, Sauna, Lift, Multipurpose hall, Club house, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
1293,2200,Kuala Lumpur - KL City,Condominium,1,1.0,1.0,550,Fully Furnished,"Security, Gymnasium, Minimart, Lift, Playground, Swimming Pool, Parking","Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur
1294,7500,Kuala Lumpur - KLCC,Service Residence,3,0.0,3.0,1600,Fully Furnished,"Parking, Security, Lift","Air-Cond, Near KTM/LRT",Kuala Lumpur
1295,1600,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1285,Partially Furnished,"Playground, Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1296,3600,Kuala Lumpur - Wangsa Maju,Condominium,3,2.0,2.0,1528,Fully Furnished,"Squash Court, Tennis Court, Jogging Track, Sauna, Parking, Playground, Swimming Pool, Gymnasium, Club house, Security, Barbeque area, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1297,1200,Kuala Lumpur - Bukit Jalil,Apartment,3,1.0,2.0,800,Partially Furnished,"Parking, Security, Minimart, Multipurpose hall, Lift, Jogging Track",None,Kuala Lumpur
1298,1600,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,800,Partially Furnished,"Swimming Pool, Playground, Gymnasium, Jogging Track, Multipurpose hall, Barbeque area, Parking, Security, Lift",Cooking Allowed,Kuala Lumpur
1299,1100,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,932,Partially Furnished,"Playground, Jogging Track, Barbeque area, Security, Swimming Pool, Lift, Parking, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1300,1200,Kuala Lumpur - Taman Desa,Condominium,3,1.0,2.0,946,Partially Furnished,"Parking, Swimming Pool, Barbeque area, Security, Minimart, Playground, Gymnasium, Sauna, Club house, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
1301,1200,Kuala Lumpur - Pandan Indah,Apartment,2,0.0,2.0,1022,Partially Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
1302,700,Kuala Lumpur - Cheras,Apartment,3,0.0,1.0,750,Not Furnished,Security,None,Kuala Lumpur
1303,3099,Kuala Lumpur - KLCC,Service Residence,3,0.0,2.0,818,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1304,1730,Kuala Lumpur - Sentul,Condominium,3,1.0,2.0,800,Fully Furnished,"Parking, Swimming Pool, Security, Playground, Lift, Multipurpose hall, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
1305,2500,Kuala Lumpur - Old Klang Road,Service Residence,3,0.0,2.0,935,Fully Furnished,"Gymnasium, Jogging Track, Security, Multipurpose hall, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
1306,3400,Kuala Lumpur - KLCC,Service Residence,2,1.0,2.0,1055,Fully Furnished,"Minimart, Swimming Pool, Gymnasium, Security, Playground, Parking, Lift, Barbeque area, Jogging Track",None,Kuala Lumpur
